					2018-08-07
Result of analyse of data: 1647096 values with 16237 bad values (1.0%) (taken out)
Delta T: 4
Year	Winter			Spring			Summer			Autumn
	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total
1986	9	10	19	0	0	0	0	0	0	19	21	40
1987	28	21	49	33	30	63	37	28	65	31	30	61
1988	30	30	60	29	22	51	34	30	64	26	20	46
1989	24	24	48	29	27	56	32	24	56	27	27	54
1990	28	26	54	30	21	51	29	29	58	25	36	61
1991	24	23	47	24	22	46	27	20	47	26	27	53
1992	25	27	52	28	20	48	28	23	51	27	25	52
1993	28	30	58	25	24	49	32	27	59	21	18	39
1994	26	30	56	31	23	54	26	31	57	26	23	49
1995	34	26	60	27	28	55	24	23	47	25	23	48
1996	24	25	49	26	24	50	26	27	53	32	25	57
1997	24	26	50	30	27	57	28	24	52	19	27	46
1998	25	25	50	26	26	52	34	23	57	26	24	50
1999	32	29	61	29	21	50	29	25	54	29	26	55
2000	25	31	56	30	22	52	31	26	57	27	24	51
2001	28	30	58	30	26	56	31	26	57	30	30	60
2002	28	21	49	29	21	50	29	25	54	33	28	61
2003	26	28	54	31	23	54	31	28	59	25	30	55
2004	25	25	50	26	20	46	34	28	62	24	28	52
2005	19	27	46	23	24	47	21	23	44	19	21	40
2006	22	23	45	32	26	58	23	28	51	25	25	50
2007	26	26	52	23	21	44	33	27	60	26	25	51
2008	29	23	52	32	29	61	31	29	60	22	25	47
2009	29	29	58	31	24	55	30	29	59	22	26	48
2010	31	28	59	29	23	52	29	29	58	24	28	52
2011	29	22	51	27	23	50	32	23	55	19	18	37
2012	36	29	65	27	28	55	26	29	55	29	23	52
2013	24	28	52	33	28	61	30	23	53	31	25	56
2014	27	33	60	30	20	50	34	28	62	29	21	50
2015	27	23	50	30	22	52	28	24	52	28	30	58
2016	25	26	51	31	27	58	20	23	43	22	22	44
2017	29	30	59	32	25	57	28	27	55	24	27	51
2018	17	19	36	21	19	40	0	0	0	0	0	0
Delta T: 5
Year	Winter			Spring			Summer			Autumn
	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total
1986	7	5	12	0	0	0	0	0	0	17	16	33
1987	18	15	33	23	25	48	30	27	57	19	23	42
1988	22	22	44	25	15	40	29	25	54	16	16	32
1989	15	16	31	19	17	36	21	22	43	16	19	35
1990	20	22	42	21	16	37	23	23	46	19	24	43
1991	19	16	35	10	16	26	18	18	36	18	17	35
1992	19	18	37	20	18	38	16	21	37	19	22	41
1993	25	19	44	18	16	34	18	22	40	13	16	29
1994	17	19	36	26	16	42	19	24	43	18	16	34
1995	26	20	46	20	22	42	13	20	33	16	14	30
1996	17	15	32	18	22	40	17	21	38	23	20	43
1997	21	18	39	24	17	41	21	18	39	11	19	30
1998	15	17	32	21	14	35	23	22	45	15	16	31
1999	28	26	54	21	17	38	20	21	41	17	19	36
2000	22	21	43	19	20	39	24	22	46	19	24	43
2001	20	22	42	21	20	41	24	20	44	18	20	38
2002	22	15	37	14	18	32	17	23	40	20	21	41
2003	22	22	44	25	16	41	23	24	47	15	21	36
2004	18	18	36	18	16	34	26	21	47	19	22	41
2005	14	18	32	21	18	39	17	16	33	13	16	29
2006	17	13	30	25	19	44	21	16	37	17	19	36
2007	23	20	43	12	18	30	27	21	48	16	17	33
2008	22	15	37	26	22	48	20	21	41	18	17	35
2009	18	16	34	23	17	40	23	20	43	17	18	35
2010	22	20	42	19	18	37	19	24	43	17	22	39
