					2018-08-09
Result of analyse of data: 1647096 values with 16237 bad values (1.0%) (taken out)
	1				2				3				4				5				6				7				8				9				10				11				12				13				14				15

	pos	neg	tot		pos	neg	tot		pos	neg	tot		pos	neg	tot		pos	neg	tot		pos	neg	tot		pos	neg	tot		pos	neg	tot		pos	neg	tot		pos	neg	tot		pos	neg	tot		pos	neg	tot		pos	neg	tot		pos	neg	tot		pos	neg	tot
1986	52	31	83		41	24	65		24	17	41		13	15	28		5	11	16		0	7	7		0	5	5		0	3	3		0	2	2		0	1	1		0	1	1		0	0	0		0	0	0		0	0	0		0	0	0
1987	158	149	307		127	116	243		103	91	194		69	68	137		46	46	92		26	25	51		11	13	24		4	8	12		2	1	3		0	1	1		0	1	1		0	1	1		0	1	1		0	1	1		0	1	1
1988	134	118	252		82	89	171		50	66	116		31	49	80		13	36	49		8	18	26		2	7	9		0	3	3		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
1989	141	127	268		106	102	208		76	72	148		49	48	97		30	35	65		18	23	41		7	14	21		2	2	4		1	0	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
1990	145	146	291		111	108	219		69	74	143		41	46	87		20	27	47		9	16	25		4	7	11		2	4	6		0	2	2		0	1	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
1991	161	119	280		105	94	199		69	69	138		39	52	91		23	39	62		14	25	39		7	14	21		2	7	9		1	6	7		0	5	5		0	2	2		0	1	1		0	0	0		0	0	0		0	0	0
1992	152	136	288		116	97	213		82	64	146		45	49	94		20	34	54		7	24	31		4	13	17		0	8	8		0	3	3		0	1	1		0	1	1		0	0	0		0	0	0		0	0	0		0	0	0
1993	138	127	265		105	90	195		82	65	147		48	50	98		24	39	63		15	23	38		7	15	22		4	10	14		2	5	7		1	2	3		0	2	2		0	2	2		0	2	2		0	0	0		0	0	0
1994	158	127	285		116	103	219		81	72	153		57	46	103		30	37	67		15	26	41		7	20	27		2	7	9		1	1	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0	
1995	153	133	286		105	100	205		74	76	150		43	60	103		26	48	74		9	29	38		3	14	17		0	11	11		0	8	8		0	3	3		0	2	2		0	1	1		0	0	0		0	0	0		0	0	0
1996	161	130	291		105	96	201		67	77	144		40	53	93		24	38	62		11	22	33		5	15	20		1	9	10		0	2	2		0	1	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
1997	158	122	280		104	96	200		57	65	122		32	43	75		18	29	47		5	17	22		1	9	10		0	2	2		0	1	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
1998	140	142	282		105	107	212		77	85	162		59	53	112		47	35	82		30	23	53		12	16	28		3	8	11		1	5	6		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
1999	153	144	297		120	107	227		81	75	156		53	52	105		26	38	64		18	28	46		10	21	31		5	14	19		3	10	13		2	6	8		2	4	6		2	0	2		0	0	0		0	0	0		0	0	0
2000	159	146	305		119	116	235		85	90	175		53	57	110		27	26	53		15	13	28		5	6	11		1	2	3		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
2001	154	144	298		115	112	227		80	83	163		54	63	117		32	43	75		19	30	49		4	20	24		2	11	13		2	5	7		1	3	4		1	0	1		0	0	0		0	0	0		0	0	0		0	0	0
2002	155	124	279		108	87	195		68	64	132		36	46	82		21	24	45		12	12	24		5	8	13		4	2	6		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
2003	152	128	280		113	97	210		70	84	154		46	67	113		33	50	83		17	34	51		4	20	24		1	12	13		0	5	5		0	2	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
2004	157	135	292		113	110	223		88	88	176		50	68	118		28	52	80		14	33	47		10	18	28		8	10	18		6	7	13		2	0	2		1	0	1		0	0	0		0	0	0		0	0	0		0	0	0
2005	145	148	293		117	116	233		92	91	183		72	70	142		55	45	100		34	33	67		21	23	44		10	13	23		5	7	12		1	5	6		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
2006	154	117	271		118	92	210		76	70	146		35	50	85		15	37	52		10	26	36		4	17	21		2	10	12		1	7	8		0	4	4		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
2007	161	122	283		120	94	214		87	73	160		43	57	100		24	46	70		10	28	38		4	19	23		0	13	13		0	11	11		0	6	6		0	3	3		0	1	1		0	1	1		0	0	0		0	0	0
2008	149	143	292		110	101	211		79	69	148		51	46	97		25	30	55		15	18	33		6	9	15		1	4	5		0	1	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
2009	156	132	288		118	103	221		81	82	163		40	55	95		25	43	68		15	27	42		9	14	23		5	8	13		2	5	7		0	4	4		0	2	2		0	0	0		0	0	0		0	0	0		0	0	0
2010	160	153	313		126	118	244		92	97	189		61	72	133		40	52	92		19	24	43		7	13	20		3	8	11		0	1	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
2011	142	129	271		100	101	201		75	77	152		46	47	93		25	31	56		17	20	37		10	14	24		5	8	13		0	5	5		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
2012	161	130	291		121	105	226		83	84	167		59	66	125		41	49	90		28	31	59		13	25	38		11	19	30		7	12	19		1	9	10		1	9	10		0	7	7		0	2	2		0	1	1		0	1	1
2013	148	150	298		122	111	233		91	80	171		62	59	121		41	44	85		22	29	51		13	19	32		9	12	21		2	5	7		0	2	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
2014	140	140	280		101	95	196		66	61	127		37	41	78		22	30	52		18	19	37		5	8	13		2	4	6		0	2	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
2015	156	130	286		119	102	221		93	75	168		64	54	118		41	32	73		25	21	46		10	14	24		1	10	11		1	5	6		0	5	5		0	2	2		0	1	1		0	1	1		0	0	0		0	0	0
2016	142	138	280		102	100	202		72	70	142		51	52	103		38	33	71		24	23	47		10	12	22		3	7	10		1	3	4		0	1	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
2017	155	139	294		121	115	236		85	89	174		56	73	129		33	52	85		15	35	50		3	18	21		1	10	11		0	7	7		0	3	3		0	1	1		0	0	0		0	0	0		0	0	0		0	0	0
2018	56	52	108		46	36	82		40	23	63		24	17	41		14	11	25		6	6	12		0	5	5		0	3	3		0	3	3		0	2	2		0	1	1		0	1	1		0	1	1		0	0	0		0	0	0
