					2018-08-09
Result of analyse of data: 1647096 values with 16237 bad values (1.0%) (taken out)
	5				6				7				8				9				10
	pos	neg	tot		pos	neg	tot		pos	neg	tot		pos	neg	tot		pos	neg	tot		pos	neg	tot
1986	10	5	15		8	0	8		6	0	6		5	0	5		4	0	4		2	0	2
1987	59	37	96		38	22	60		26	19	45		13	12	25		7	4	11		4	1	5
1988	35	14	49		23	6	29		14	2	16		5	1	6		2	1	3		0	0	0
1989	26	41	67		16	26	42		10	13	23		5	3	8		0	1	1		0	1	1
1990	31	33	64		16	16	32		6	13	19		2	1	3		1	0	1		0	0	0
1991	51	22	73		38	12	50		33	6	39		22	3	25		10	1	11		2	0	2
1992	40	37	77		20	20	40		10	7	17		5	1	6		0	1	1		0	0	0
1993	40	36	76		27	16	43		16	7	23		10	1	11		3	0	3		2	0	2
1994	33	35	68		24	24	48		12	16	28		4	7	11		1	2	3		0	1	1
1995	51	16	67		41	6	47		26	0	26		13	0	13		9	0	9		3	0	3
1996	53	16	69		31	8	39		19	2	21		11	0	11		2	0	2		0	0	0
1997	31	37	68		18	14	32		10	5	15		4	1	5		0	0	0		0	0	0
1998	33	51	84		18	38	56		10	24	34		5	12	17		2	8	10		0	1	1
1999	42	17	59		26	8	34		19	6	25		17	4	21		10	3	13		7	0	7
2000	24	26	50		12	13	25		7	6	13		4	3	7		1	0	1		0	0	0
2001	42	23	65		26	10	36		20	6	26		10	3	13		4	1	5		3	1	4
2002	17	34	51		13	17	30		7	6	13		3	5	8		0	1	1		0	1	1
2003	39	61	100		32	32	64		22	18	40		12	6	18		7	0	7		4	0	4
2004	49	21	70		35	11	46		21	7	28		11	4	15		2	1	3		0	0	0
2005	68	36	104		52	14	66		42	5	47		27	0	27		17	0	17		10	0	10
2006	41	27	68		27	13	40		21	5	26		11	1	12		4	0	4		2	0	2
2007	43	39	82		34	17	51		24	10	34		13	4	17		6	1	7		2	0	2
2008	35	21	56		23	12	35		14	7	21		5	6	11		4	4	8		1	1	2
2009	37	26	63		26	12	38		16	8	24		10	5	15		6	2	8		4	0	4
2010	77	16	93		55	7	62		33	1	34		20	1	21		17	0	17		8	0	8
2011	25	46	71		14	24	38		7	14	21		3	7	10		0	4	4		0	1	1
2012	39	39	78		28	22	50		21	16	37		14	10	24		13	4	17		11	1	12
2013	53	35	88		40	24	64		28	9	37		17	3	20		11	1	12		6	0	6
2014	26	38	64		11	26	37		3	11	14		0	5	5		0	3	3		0	0	0
2015	26	73	99		11	49	60		6	26	32		3	16	19		0	5	5		0	1	1
2016	29	35	64		20	27	47		12	14	26		7	8	15		0	1	1		0	1	1
2017	47	55	102		26	27	53		14	7	21		8	1	9		4	0	4		2	0	2
2018	16	13	29		9	7	16		5	5	10		4	3	7		4	1	5		3	0	3
